PatientAccessionIdentifier,NHSNumber,HospitalNumber,PatientFamilyName,PatientGivenName,DateOfBirth,AdministrativeSex,PostCode,HospitalSpellIdentifier,OrderingProviderIdentifier,OrderingProviderName,RequestingOrganisationCode,RequestingOrganisationName,PlacerOrderNumber,FMIIdentifier,FillerOrderNumber,OrderStatus,ReportStatusDateTime,ReportIdentifier,NGTDTestCode,NGTDTestName,TestCode,TestAccessionIdentifier,TestOrderDate,ObservationResultStatus,ObservationDateTime,ObservationIdentifierCode,ObservationIdentifierDescription,SpecimenTakenDateTime,SpecimenReceivedDateTime,SpecimenAccessionIdentifier,SpecimenTypeCode,SpecimenTypeDescription
200006,9737383214,RTX7565482,LANCASTER,Jaime,1970-07-27,Male,LA1 1RP,,SH_JJE,Dr Jonathan Edgerley,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-DVFH,,T26-0MQL,Testing,10 Mar 2026 12:00,R26-JB4W,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-0MQL,28 Feb 2026 10:00,F,10 Mar 2026 07:00,,,01 Mar 2026 06:00,01 Mar 2026 23:00,S26-88MU,BL,Blood
200001,9737873971,RTR2920101,MIDDLESBOROUGH,Allanys,1947-04-27,Female,TS1 2BX,,SH_AMK,Dr Amelia Kinnear,RTR,South Tees Hospitals NHS Foundation Trust,P26-L8XS,,T26-3GW8,Testing,24 May 2026 16:00,R26-9AQ9,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-3GW8,12 May 2026 08:00,F,24 May 2026 09:00,,,13 May 2026 04:00,14 May 2026 22:00,S26-WQZ4,BL,Blood
200041,9737873947,RTD9944958,NEWCASTLE,Rheana,2009-06-11,Female,NE1 4LP,,SH_AMK,Dr Amelia Kinnear,RTD,The Newcastle upon Tyne Hospitals NHS Foundation Trust,P26-S5YB,,T26-S9PS,Testing,06 Mar 2026 07:00,R26-2BZX,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-S9PS,23 Feb 2026 08:00,F,05 Mar 2026 21:00,,,23 Feb 2026 13:00,25 Feb 2026 13:00,S26-91EA,BL,Blood
200006,9737383214,RTX7565482,LANCASTER,Jaime,1970-07-27,Male,LA1 1RP,,SH_RPT,Dr Ross Pettifer,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-K6YY,,T26-010J,Testing,21 Mar 2026 18:00,R26-8EA4,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-010J,10 Mar 2026 10:00,F,21 Mar 2026 16:00,,,11 Mar 2026 18:00,13 Mar 2026 07:00,S26-MPNO,BL,Blood
200026,9737383273,RMC7021955,BOLTON,Ramsay,1985-05-13,Male,BL1 8SF,,SH_AMK,Dr Amelia Kinnear,RMC,Bolton NHS Foundation Trust,P26-RR8F,,T26-0ZVY,Testing,29 Mar 2026 14:00,R26-CHPR,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-0ZVY,19 Mar 2026 15:00,F,29 Mar 2026 12:00,,,20 Mar 2026 19:00,22 Mar 2026 03:00,S26-EWJS,BL,Blood
200024,9737383338,RWJ7613989,BUXTON,Lysa,1971-01-01,Female,SK17 6TE,,SH_AMK,Dr Amelia Kinnear,RWJ,Stockport NHS Foundation Trust,P26-1SC0,,T26-43CO,Testing,04 Jul 2026 18:00,R26-Y0MK,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-43CO,20 Jun 2026 11:00,F,03 Jul 2026 10:00,,,21 Jun 2026 14:00,22 Jun 2026 23:00,S26-1151,BL,Blood
200029,9737873998,RXP7136968,DURHAM,Alicent,1993-12-27,Female,DH1 3HP,SP26-00007,SH_RPT,Dr Ross Pettifer,RXP,County Durham and Darlington NHS Foundation Trust,P26-10GU,,T26-K3YB,Testing,12 Jul 2026 05:00,R26-YGVF,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-K3YB,01 Jul 2026 12:00,F,10 Jul 2026 21:00,,,03 Jul 2026 10:00,03 Jul 2026 17:00,S26-33QK,BL,Blood
200009,9737873882,RAE9191583,BRADFORD,Rodrik,1942-09-20,Male,BD9 6RJ,,SH_JJE,Dr Jonathan Edgerley,RAE,Bradford Teaching Hospitals NHS Foundation Trust,P26-D6Y2,,T26-XY7J,Testing,07 Feb 2026 20:00,R26-YJJR,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-XY7J,27 Jan 2026 08:00,F,07 Feb 2026 17:00,,,28 Jan 2026 00:00,28 Jan 2026 05:00,S26-OG8J,BL,Blood
200012,9737873858,RHQ5948241,SHEFFIELD,Theon,1986-09-12,Male,S1 2JF,,SH_RPT,Dr Ross Pettifer,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,P26-AW6C,,T26-YDPL,Testing,06 May 2026 16:00,R26-BTUX,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-YDPL,23 Apr 2026 16:00,F,06 May 2026 09:00,,,23 Apr 2026 18:00,24 Apr 2026 05:00,S26-TPQ3,BL,Blood
200048,9737873963,RWA4931899,HULL,Yara,1981-04-23,Female,HU3 2JZ,,SH_RPT,Dr Ross Pettifer,RWA,Hull University Teaching Hospitals NHS Trust,P26-G682,,T26-GAKE,Testing,09 Jun 2026 06:00,R26-MS15,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-GAKE,24 May 2026 17:00,F,08 Jun 2026 06:00,,,26 May 2026 15:00,27 May 2026 05:00,S26-5RBB,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_AMK,Dr Amelia Kinnear,RR8,Leeds Teaching Hospitals NHS Trust,P26-BF4B,,T26-VMJ5,Testing,28 Jul 2026 15:00,R26-GMCV,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-VMJ5,15 Jul 2026 11:00,F,27 Jul 2026 05:00,,,15 Jul 2026 21:00,17 Jul 2026 20:00,S26-IEZX,BL,Blood
200012,9737873858,RHQ5948241,SHEFFIELD,Theon,1986-09-12,Male,S1 2JF,,SH_JJE,Dr Jonathan Edgerley,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,P26-6NGM,,T26-N574,Testing,01 Jul 2026 22:00,R26-VZ39,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-N574,23 Jun 2026 13:00,F,01 Jul 2026 05:00,,,23 Jun 2026 22:00,25 Jun 2026 01:00,S26-2CCQ,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_LDW,Dr Leah Woodford,RR8,Leeds Teaching Hospitals NHS Trust,P26-6F2C,,T26-4JWZ,Testing,06 May 2026 03:00,R26-ACH6,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-4JWZ,22 Apr 2026 14:00,F,05 May 2026 15:00,,,23 Apr 2026 02:00,23 Apr 2026 09:00,S26-D661,BL,Blood
200031,9737383281,RBT5094163,CONGLETON,Margaery,1982-02-11,Female,CW12 1DT,SP26-00008,SH_RPT,Dr Ross Pettifer,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-EAR0,,T26-TF4L,Testing,10 Mar 2026 01:00,R26-DRXT,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-TF4L,28 Feb 2026 13:00,F,09 Mar 2026 19:00,,,01 Mar 2026 14:00,03 Mar 2026 09:00,S26-HNKF,BL,Blood
200006,9737383214,RTX7565482,LANCASTER,Jaime,1970-07-27,Male,LA1 1RP,,SH_JJE,Dr Jonathan Edgerley,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-3Y10,,T26-78O8,Testing,14 May 2026 06:00,R26-YCD2,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-78O8,06 May 2026 13:00,F,13 May 2026 15:00,,,06 May 2026 18:00,08 May 2026 03:00,S26-Y0VH,BL,Blood
200008,9737383389,RXR5797566,BURNLEY,Selyse,1967-09-18,Female,BB10 2PQ,,SH_AMK,Dr Amelia Kinnear,RXR,East Lancashire Hospitals NHS Trust,P26-OGYU,,T26-X99N,Testing,11 Jan 2026 07:00,R26-OU0C,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-X99N,02 Jan 2026 14:00,F,10 Jan 2026 08:00,,,03 Jan 2026 18:00,04 Jan 2026 02:00,S26-519T,BL,Blood
200016,9737383397,RMP6419544,TAMESIDE,Hodor,1960-07-27,Male,OL6 9RW,,SH_AMK,Dr Amelia Kinnear,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,P26-IWST,,T26-6KT4,Testing,23 May 2026 02:00,R26-HRCD,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-6KT4,12 May 2026 17:00,F,22 May 2026 04:00,,,14 May 2026 05:00,15 May 2026 18:00,S26-7KFB,BL,Blood
200000,9737383192,R0A4990415,MANCHESTER,Sansa,1972-09-21,Female,M13 9PL,,SH_LDW,Dr Leah Woodford,R0A,Manchester University NHS Foundation Trust,P26-R6FC,,T26-0F17,Testing,24 Apr 2026 06:00,R26-F57H,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-0F17,13 Apr 2026 08:00,F,23 Apr 2026 10:00,,,13 Apr 2026 11:00,15 Apr 2026 03:00,S26-UBH9,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_LDW,Dr Leah Woodford,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-8FCY,,T26-X2TR,Testing,09 Feb 2026 17:00,R26-HGTF,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-X2TR,24 Jan 2026 12:00,F,08 Feb 2026 14:00,,,26 Jan 2026 12:00,27 Jan 2026 11:00,S26-HO37,BL,Blood
200058,9737873874,R0B2364016,SUNDERLAND,Corlys,1965-03-22,Male,SR1 3SD,,SH_JJE,Dr Jonathan Edgerley,R0B,South Tyneside and Sunderland NHS Foundation Trust,P26-3TE8,,T26-ZNJ4,Testing,19 Jun 2026 04:00,R26-TD9N,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-ZNJ4,05 Jun 2026 09:00,F,18 Jun 2026 04:00,,,07 Jun 2026 02:00,08 Jun 2026 23:00,S26-ED9M,BL,Blood
200024,9737383338,RWJ7613989,BUXTON,Lysa,1971-01-01,Female,SK17 6TE,SP26-00009,SH_AMK,Dr Amelia Kinnear,RWJ,Stockport NHS Foundation Trust,P26-LZEA,,T26-K0VR,Testing,12 Feb 2026 07:00,R26-JD0R,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-K0VR,01 Feb 2026 11:00,F,11 Feb 2026 16:00,,,02 Feb 2026 11:00,04 Feb 2026 09:00,S26-E8X3,BL,Blood
200016,9737383397,RMP6419544,TAMESIDE,Hodor,1960-07-27,Male,OL6 9RW,,SH_JJE,Dr Jonathan Edgerley,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,P26-WD4B,,T26-2HS1,Testing,25 Feb 2026 19:00,R26-ILE7,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-2HS1,16 Feb 2026 15:00,F,24 Feb 2026 16:00,,,18 Feb 2026 01:00,18 Feb 2026 11:00,S26-5DQJ,BL,Blood
200000,9737383192,R0A4990415,MANCHESTER,Sansa,1972-09-21,Female,M13 9PL,,SH_JJE,Dr Jonathan Edgerley,R0A,Manchester University NHS Foundation Trust,P26-K2PD,,T26-ATTW,Testing,11 May 2026 00:00,R26-0AJW,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-ATTW,29 Apr 2026 15:00,F,10 May 2026 07:00,,,29 Apr 2026 16:00,01 May 2026 02:00,S26-FASX,BL,Blood
200026,9737383273,RMC7021955,BOLTON,Ramsay,1985-05-13,Male,BL1 8SF,,SH_LDW,Dr Leah Woodford,RMC,Bolton NHS Foundation Trust,P26-NRT3,,T26-D0HN,Testing,12 Jun 2026 16:00,R26-IGW7,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-D0HN,29 May 2026 13:00,F,12 Jun 2026 05:00,,,30 May 2026 13:00,30 May 2026 23:00,S26-7C80,BL,Blood
200063,9737383354,RTX3170820,KENDAL,Tormund,1978-12-07,Male,LA9 4QS,,SH_RPT,Dr Ross Pettifer,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-B76O,,T26-RFZ3,Testing,02 Apr 2026 14:00,R26-XAKH,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-RFZ3,19 Mar 2026 10:00,F,01 Apr 2026 14:00,,,20 Mar 2026 16:00,21 Mar 2026 02:00,S26-JDE3,BL,Blood
200028,9737383257,REM7676150,WREXHAM,Myrcella,1999-10-13,Female,LL13 7TD,,SH_LDW,Dr Leah Woodford,REM,Liverpool University Hospitals NHS Foundation Trust,P26-OGMF,,T26-MLX3,Testing,08 Jul 2026 19:00,R26-TEWL,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-MLX3,30 Jun 2026 10:00,F,08 Jul 2026 14:00,,,02 Jul 2026 06:00,02 Jul 2026 11:00,S26-54AJ,BL,Blood
200018,9737383346,RCD9077482,HAWES,Ygritte,2023-02-09,Female,DL8 3RE,,SH_JJE,Dr Jonathan Edgerley,RCD,Harrogate and District NHS Foundation Trust,P26-6CIZ,,T26-A9BA,Testing,05 Jun 2026 21:00,R26-93I3,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-A9BA,23 May 2026 14:00,F,05 Jun 2026 08:00,,,24 May 2026 16:00,24 May 2026 20:00,S26-2208,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,SP26-00010,SH_RPT,Dr Ross Pettifer,RR8,Leeds Teaching Hospitals NHS Trust,P26-IVWQ,,T26-R1QT,Testing,31 Jul 2026 22:00,R26-CYFA,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-R1QT,18 Jul 2026 10:00,F,31 Jul 2026 17:00,,,19 Jul 2026 14:00,21 Jul 2026 07:00,S26-XMLJ,BL,Blood
200067,9449305552,RHQ4697183,CHISLETT,Octavia,2008-09-20,Female,CT3 4DU,,SH_LDW,Dr Leah Woodford,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,P26-1D2C,,T26-923N,Testing,14 Jun 2026 18:00,R26-95IJ,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-923N,31 May 2026 13:00,F,14 Jun 2026 06:00,,,02 Jun 2026 07:00,03 Jun 2026 21:00,S26-B25O,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_JJE,Dr Jonathan Edgerley,RR8,Leeds Teaching Hospitals NHS Trust,P26-UVQ9,,T26-JCHM,Testing,27 Jun 2026 23:00,R26-MIMQ,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-JCHM,15 Jun 2026 16:00,F,27 Jun 2026 16:00,,,16 Jun 2026 09:00,17 Jun 2026 08:00,S26-3YED,BL,Blood
200013,9737383311,RBT1044193,NORTHWICH,Mace,1957-01-19,Male,CW9 5RL,,SH_JJE,Dr Jonathan Edgerley,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-T73E,,T26-RBSF,Testing,24 Jan 2026 10:00,R26-5OTN,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-RBSF,10 Jan 2026 13:00,F,23 Jan 2026 19:00,,,11 Jan 2026 17:00,12 Jan 2026 12:00,S26-FOTH,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_JJE,Dr Jonathan Edgerley,RR8,Leeds Teaching Hospitals NHS Trust,P26-NGL5,,T26-8J5L,Testing,16 Mar 2026 16:00,R26-ZD8O,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-8J5L,07 Mar 2026 08:00,F,16 Mar 2026 16:00,,,07 Mar 2026 11:00,08 Mar 2026 13:00,S26-BDC1,BL,Blood
200029,9737873998,RXP7136968,DURHAM,Alicent,1993-12-27,Female,DH1 3HP,,SH_JJE,Dr Jonathan Edgerley,RXP,County Durham and Darlington NHS Foundation Trust,P26-PTPD,,T26-BREO,Testing,14 Jan 2026 08:00,R26-KH37,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-BREO,04 Jan 2026 10:00,F,12 Jan 2026 23:00,,,05 Jan 2026 13:00,05 Jan 2026 17:00,S26-6H07,BL,Blood
200063,9737383354,RTX3170820,KENDAL,Tormund,1978-12-07,Male,LA9 4QS,,SH_JJE,Dr Jonathan Edgerley,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-E90M,,T26-FQR5,Testing,13 Jun 2026 03:00,R26-KLOC,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-FQR5,30 May 2026 15:00,F,13 Jun 2026 00:00,,,01 Jun 2026 02:00,02 Jun 2026 20:00,S26-Q8NW,BL,Blood
200048,9737873963,RWA4931899,HULL,Yara,1981-04-23,Female,HU3 2JZ,SP26-00011,SH_JJE,Dr Jonathan Edgerley,RWA,Hull University Teaching Hospitals NHS Trust,P26-B2CJ,,T26-OCH1,Testing,31 Mar 2026 06:00,R26-UX8N,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-OCH1,19 Mar 2026 14:00,F,30 Mar 2026 15:00,,,20 Mar 2026 00:00,21 Mar 2026 07:00,S26-4XPK,BL,Blood
200031,9737383281,RBT5094163,CONGLETON,Margaery,1982-02-11,Female,CW12 1DT,,SH_JJE,Dr Jonathan Edgerley,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-RU3O,,T26-SK7I,Testing,04 Apr 2026 05:00,R26-YHUC,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-SK7I,22 Mar 2026 10:00,F,03 Apr 2026 07:00,,,24 Mar 2026 08:00,25 Mar 2026 02:00,S26-CVUP,BL,Blood
200058,9737873874,R0B2364016,SUNDERLAND,Corlys,1965-03-22,Male,SR1 3SD,,SH_LDW,Dr Leah Woodford,R0B,South Tyneside and Sunderland NHS Foundation Trust,P26-GCLR,,T26-HZ1U,Testing,08 Feb 2026 17:00,R26-14O2,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-HZ1U,30 Jan 2026 11:00,F,08 Feb 2026 07:00,,,31 Jan 2026 23:00,02 Feb 2026 05:00,S26-B1ZV,BL,Blood
200024,9737383338,RWJ7613989,BUXTON,Lysa,1971-01-01,Female,SK17 6TE,,SH_AMK,Dr Amelia Kinnear,RWJ,Stockport NHS Foundation Trust,P26-CE60,,T26-D28K,Testing,03 May 2026 12:00,R26-LFL0,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-D28K,24 Apr 2026 16:00,F,03 May 2026 08:00,,,25 Apr 2026 17:00,27 Apr 2026 02:00,S26-X1PS,BL,Blood
200031,9737383281,RBT5094163,CONGLETON,Margaery,1982-02-11,Female,CW12 1DT,,SH_JJE,Dr Jonathan Edgerley,RBT,Mid Cheshire Hospitals NHS Foundation Trust,P26-IVXN,,T26-3W2E,Testing,15 Jul 2026 07:00,R26-FEH5,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-3W2E,02 Jul 2026 16:00,F,14 Jul 2026 02:00,,,02 Jul 2026 20:00,04 Jul 2026 16:00,S26-BQCJ,BL,Blood
